# Tabulated[101 pts]
# x	f(x)	f'(x)
1.50000000	0.997494986604	0.045775544466
1.55000000	0.999783764189	0.020786164380
1.60000000	0.999573603042	-0.029187357350
1.65000000	0.996865028454	-0.079087925900
1.70000000	0.991664810452	-0.128790815800
1.75000000	0.983985946874	-0.178171795740
1.80000000	0.973847630878	-0.227107438990
1.85000000	0.961275202975	-0.275475431910
1.90000000	0.946300087687	-0.323154879710
1.95000000	0.928959715004	-0.370026608610
2.00000000	0.909297426826	-0.415973463710
2.05000000	0.887362368633	-0.460880601770
2.10000000	0.863209366649	-0.504635778350
2.15000000	0.836898790798	-0.547129628290
2.20000000	0.808496403820	-0.588255939100
2.25000000	0.778073196888	-0.627911916430
2.30000000	0.745705212177	-0.665998440970
2.35000000	0.711473352791	-0.702420316260
2.40000000	0.675463180551	-0.737086506560
2.45000000	0.637764702135	-0.769910364470
2.50000000	0.598472144104	-0.800809847440
2.55000000	0.557683717391	-0.829707722830
2.60000000	0.515501371821	-0.856531761010
2.65000000	0.472030541290	-0.881214915870
2.70000000	0.427379880234	-0.903695492380
2.75000000	0.381660992052	-0.923917300780
2.80000000	0.334988150156	-0.941829797090
2.85000000	0.287478012343	-0.957388209420
2.90000000	0.239249329214	-0.970553649820
2.95000000	0.190422647361	-0.981293211540
3.00000000	0.141120008060	-0.989580051290
3.05000000	0.091464642232	-0.995393456270
3.10000000	0.041580662433	-0.998718895990
3.15000000	-0.008407247367	-0.999548058610
3.20000000	-0.058374143428	-0.997878871630
3.25000000	-0.108195134530	-0.993715507150
3.30000000	-0.157745694143	-0.987068371430
3.35000000	-0.206901971673	-0.977954078840
3.40000000	-0.255541102027	-0.966395410350
3.45000000	-0.303541512708	-0.952421256630
3.50000000	-0.350783227690	-0.936066545780
3.55000000	-0.397148167286	-0.917372156050
3.60000000	-0.442520443295	-0.896384813700
3.65000000	-0.486786648656	-0.873156976130
3.70000000	-0.529836140908	-0.847746700860
3.75000000	-0.571561318742	-0.820217500350
3.80000000	-0.611857890943	-0.790638183230
3.85000000	-0.650625137065	-0.759082682410
3.90000000	-0.687766159184	-0.725629870220
3.95000000	-0.723188124087	-0.690363361240
4.00000000	-0.756802495308	-0.653371303390
4.05000000	-0.788525254426	-0.614746157560
4.10000000	-0.818277111064	-0.574584466490
4.15000000	-0.845983701075	-0.532986613500
4.20000000	-0.871575772414	-0.490056571540
4.25000000	-0.894989358229	-0.445901643350
4.30000000	-0.916165936749	-0.400632193290
4.35000000	-0.935052577558	-0.354361371410
4.40000000	-0.951602073890	-0.307204830630
4.45000000	-0.965773060621	-0.259280437750
4.50000000	-0.977530117665	-0.210707978820
4.55000000	-0.986843858503	-0.161608859680
4.60000000	-0.993691003633	-0.112105802560
4.65000000	-0.998054438759	-0.062322539310
4.70000000	-0.999923257564	-0.012383502160
4.75000000	-0.999292788975	0.037586487280
4.80000000	-0.996164608836	0.087462530080
4.85000000	-0.990546535967	0.137119962120
4.90000000	-0.982452612624	0.186434665650
4.95000000	-0.971903069402	0.235283379610
5.00000000	-0.958924274663	0.283544007660
5.05000000	-0.943548668636	0.331095923350
5.10000000	-0.925814682328	0.377820271670
5.15000000	-0.905766641469	0.423600266080
5.20000000	-0.883454655720	0.468321480420
5.25000000	-0.858934493427	0.511872134960
5.30000000	-0.832267442224	0.554143375750
5.35000000	-0.803520155852	0.595029546680
5.40000000	-0.772764487556	0.634428453630
5.45000000	-0.740077310489	0.672241619860
5.50000000	-0.705540325570	0.708374532130
5.55000000	-0.669239857276	0.742736876980
5.60000000	-0.631266637872	0.775242766450
5.65000000	-0.591715580631	0.805810952740
5.70000000	-0.550685542598	0.834365031320
5.75000000	-0.508279077499	0.860833631840
5.80000000	-0.464602179414	0.885150596590
5.85000000	-0.419764017840	0.907255145840
5.90000000	-0.373876664830	0.927092029700
5.95000000	-0.327054814870	0.944611666310
6.00000000	-0.279415498199	0.959770265710
6.05000000	-0.231077788299	0.972529939270
6.10000000	-0.182162504272	0.982858794460
6.15000000	-0.132791908853	0.990731014540
6.20000000	-0.083089402818	0.996126923050
6.25000000	-0.033179216548	0.999033033020
6.30000000	0.016813900484	0.999442080700
6.35000000	0.066764991522	0.997353043661
6.40000000	0.116549204850	0.992771143431
6.45000000	0.166042105865	0.985707832381
6.50000000	0.215119988088	0.981557639335
